saledate,MA
31/03/2007,624602
30/06/2007,626608
30/09/2007,605637
30/09/2007,619638
31/12/2007,599339
31/12/2007,622466
31/03/2008,603281
31/03/2008,609355
30/06/2008,601167
30/06/2008,615743
30/09/2008,604293
30/09/2008,590949
31/12/2008,603434
31/12/2008,601041
31/03/2009,606850
31/03/2009,572582
30/06/2009,604413
30/06/2009,581485
30/09/2009,606935
30/09/2009,556586
31/12/2009,605273
31/12/2009,564267
31/03/2010,616198
31/03/2010,542051
30/06/2010,610618
30/06/2010,549278
30/09/2010,617363
30/09/2010,528926
31/12/2010,622045
31/12/2010,534927
31/03/2011,603343
31/03/2011,516618
30/06/2011,612295
30/06/2011,522103
30/09/2011,599507
30/09/2011,508499
31/12/2011,602877
31/12/2011,512374
31/03/2012,598512
31/03/2012,505823
30/06/2012,598812
30/06/2012,506406
30/09/2012,583883
30/09/2012,506380
31/12/2012,583370
31/12/2012,505739
31/03/2013,581428
31/03/2013,506615
30/06/2013,586470
30/06/2013,506615
30/09/2013,566706
30/09/2013,507449
31/12/2013,580696
31/12/2013,507014
31/03/2014,548326
31/03/2014,507090
30/06/2014,555644
30/06/2014,507744
30/09/2014,540344
30/09/2014,498022
31/12/2014,537592
31/12/2014,503891
31/03/2015,539828
31/03/2015,483176
30/06/2015,530987
30/06/2015,491715
30/09/2015,550851
30/09/2015,466433
31/12/2015,547981
31/12/2015,474590
31/03/2016,538694
31/03/2016,449742
30/06/2016,555117
30/06/2016,457394
30/09/2016,524008
30/09/2016,437724
31/12/2016,535063
31/12/2016,444351
31/03/2017,523285
31/03/2017,423811
30/06/2017,522862
30/06/2017,426488
30/09/2017,518911
30/09/2017,416031
31/12/2017,518911
31/12/2017,419628
31/03/2018,518911
31/03/2018,421291
30/06/2018,518911
30/06/2018,421291
30/09/2018,518911
30/09/2018,421291
31/12/2018,518911
31/12/2018,421291
31/03/2019,518911
31/03/2019,630814
30/06/2019,518911
30/06/2019,628423
30/09/2019,631875
30/09/2019,597884